,roc_auc,average_precision,precision_default,recall_default,f1_default,brier_score,tn,fp,fn,tp,threshold
logistic_regression,0.747632304161652,0.4978670656045888,0.4413716814159292,0.6013564431047476,0.509090909090909,0.19344762596025294,3663.0,1010.0,529.0,798.0,0.5
random_forest,0.7729948584688032,0.5508962234169221,0.5519169329073482,0.520723436322532,0.5358666149670415,0.14893141320316544,4112.0,561.0,636.0,691.0,0.5
