risk_band,customers,average_pd,observed_default_rate,portfolio_share
Low,753,0.0670610821970452,0.05179282868525897,0.1255
Medium,2309,0.17456457154201738,0.11087050671286271,0.38483333333333336
High,1686,0.3423064095420282,0.2022538552787663,0.281
Very High,1252,0.706068272478719,0.5519169329073482,0.20866666666666667
